betas1,means1,betas2,means2
0.6468028285571078,0.042143360834743245,0.5276825617146504,0.05360130961749698
0.7292256922595873,0.037555031814979,0.777513448532693,0.041042620379752585
0.6843734388205416,0.053769146939926925,0.8190187411734643,0.045234151473932525
0.902683775439177,0.053080652493268904,0.9038784168490441,0.05758379754813984
0.7375537944113426,0.07946891001683475,1.1188565666988501,0.0379485883321011
0.8352919237638537,0.0680136542409925,1.104450784801336,0.08790972318693602
1.0289351501954387,0.08038571186122939,1.1790640131678405,0.09985383874083552
1.1389787914209073,0.06317433544518962,1.1517720891000731,0.08276476444677555
1.2557539631781987,0.04124005126526838,1.3331369692263106,0.04190969270484266
1.5422908175633665,0.03950347188138099,1.1940652711637538,0.08164461386684563
