PERMNO,date,vwretd
10107,1990-10-24,0.000212
10107,1990-10-25,-0.005624
10107,1990-10-26,-0.015955
10107,1990-10-29,-0.008941
10107,1990-10-30,0.004255
10107,1990-10-31,0.000644
10107,1990-11-01,0.008037
10107,1990-11-02,0.014963
10107,1990-11-05,0.009563
10107,1990-11-06,-0.006524
10107,1990-11-07,-0.015161
10107,1990-11-08,0.004051
10107,1990-11-09,0.017564
10107,1990-11-12,0.018473
10107,1990-11-13,-0.002922
10107,1990-11-14,0.007987
10107,1990-11-15,-0.008505
10107,1990-11-16,-0.000187
10107,1990-11-19,0.005659
10107,1990-11-20,-0.010211
10107,1990-11-21,0.001002
10107,1990-11-23,-0.001948
10107,1990-11-26,0.003071
10107,1990-11-27,0.006739
10107,1990-11-28,0.000746
10107,1990-11-29,-0.003503
10107,1990-11-30,0.015778
10107,1990-12-03,0.006589
10107,1990-12-04,0.007184
10107,1990-12-05,0.011524
10107,1990-12-06,-0.001445
10107,1990-12-07,-0.003235
10107,1990-12-10,0.002372
10107,1990-12-11,-0.005682
10107,1990-12-12,0.009204
10107,1990-12-13,-0.000649
10107,1990-12-14,-0.007353
10107,1990-12-17,-0.003769
10107,1990-12-18,0.011516
10107,1990-12-19,0.001051
10107,1990-12-20,0.000604
10107,1990-12-21,0.003009
10107,1990-12-24,-0.003690
10107,1990-12-26,0.002638
10107,1990-12-27,-0.005724
10107,1990-12-28,0.000360
10107,1990-12-31,0.004980
10107,1991-01-02,-0.008813
10107,1991-01-03,-0.011820
10107,1991-01-04,-0.002309
10107,1991-01-07,-0.016346
10107,1991-01-08,-0.002727
10107,1991-01-09,-0.009093
10107,1991-01-10,0.009429
10107,1991-01-11,0.000868
10107,1991-01-14,-0.009508
10107,1991-01-15,0.003183
10107,1991-01-16,0.009464
10107,1991-01-17,0.033074
10107,1991-01-18,0.009020
10107,1991-01-21,-0.000752
10107,1991-01-22,-0.005899
10107,1991-01-23,0.005906
10107,1991-01-24,0.014341
10107,1991-01-25,0.004249
10107,1991-01-28,0.001523
10107,1991-01-29,0.001066
10107,1991-01-30,0.014963
10107,1991-01-31,0.009568
10107,1991-02-01,0.000271
10107,1991-02-04,0.015715
10107,1991-02-05,0.010277
10107,1991-02-06,0.017859
10107,1991-02-07,-0.003433
10107,1991-02-08,0.006692
10107,1991-02-11,0.023406
10107,1991-02-12,-0.005439
10107,1991-02-13,0.008805
10107,1991-02-14,-0.011131
10107,1991-02-15,0.011687
10107,1991-02-19,0.001523
