betas1,means1,betas2,means2
0.4056909093783665,0.05168651934508204,0.47905669157159086,0.057506596768744325
0.7689591085029892,0.05572942810186907,0.7389687679831642,0.07663128765672546
0.5815147151551805,0.07123936609386919,0.8604304371446486,0.061364647545227004
0.7785011012922012,0.08515821677621846,1.047989447072744,0.06668140875298069
0.9313259536636179,0.08191545673241127,0.9540048321683796,0.07837566569779483
1.0319476251632775,0.09305457619089948,1.0945881373423554,0.07339527719111191
0.9664908884859869,0.1138862379541336,1.0737289189638382,0.07675671395085902
1.4398506430061295,0.05669493848606204,1.3053077979518506,0.059896799168008726
1.352648496913118,0.09703442531651227,1.3366046664003242,0.05270722258976291
2.004340366208034,0.11783324996165206,1.8573559812179345,0.05924123653388056
